salsify:id,salsify:name,salsify:data_type,salsify:is_facetable,salsify:attribute_group,salsify:position,salsify:help_text,salsify:searchable,salsify:manage_permissions,salsify:manage_permissions,salsify:manage_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:read_permissions,salsify:type,salsify:formula,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:hidden_permissions,salsify:entity_types,salsify:entity_types,salsify:entity_types,belk:enrichment_attribute,belk:role,dw:is_custom_attribute,dw:priority,dw:source_level,dw:xml_level,dw:xml_level,dw:xml_path
Capacity,Capacity,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Firmness,Firmness,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Size,Size,enumerated,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,TRUE,,,,,,,
Vendor_State_Restrictions,Vendor_State_Restrictions,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,Yes,,base,master,sku,Vendor_State_Restrictions
rrd_image_id,rrd_image_id,string,Yes,RR Donnelley,,,No,,,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Product Data Administrator,Sample Admin,,,,,,,,property,,,,,,,,,,,,,,,Digital assets,,,,,,,,,,
rrd_results,rrd_results,string,Yes,RR Donnelley,,,No,Product Data Administrator,,,Art Director Admins,ArtDirectors,CopyAdmin,PIP Admin,Sample Admin,,,,,,,,,property,,,,,,,,,,,,,,,Digital assets,,,,,,,,,,
OForSL,OF or SL,string,Yes,Product Attributes,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - A - shotType,Scene7 Images - A - shotType,string,Yes,Scene 7 Images,,,No,,,,Art Director Admins,ArtDirectors,Copy User,CopyAdmin,CopyWriter,Editors,PIP Admin,PIP User,Product Data Administrator,Product Data Co-Ordinator,Read Only,Sample Admin,Viewers,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - A - mainImage,Scene7 Images - A - mainImage,html,Yes,Scene7 Images A,,,No,,,,,,,,,,,,,,,,,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - A - swatchImage,Scene7 Images - A - swatchImage,digital_asset,Yes,Scene 7 Images,,,No,,,,Art Director Admins,ArtDirectors,Copy User,CopyAdmin,CopyWriter,Editors,PIP Admin,PIP User,Product Data Administrator,Product Data Co-Ordinator,Read Only,Sample Admin,Viewers,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
Scene7 Images - A - viewerImage,Scene7 Images - A - viewerImage,digital_asset,Yes,Scene 7 Images,,,No,,,,Art Director Admins,ArtDirectors,Copy User,CopyAdmin,CopyWriter,Editors,PIP Admin,PIP User,Product Data Administrator,Product Data Co-Ordinator,Read Only,Sample Admin,Viewers,property,,,,,,,,,,,,,,,Products,,,,,,,,,,
